,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Senneterre,CA,48.3835,-77.2328,-9.18,80,100,10.31,overcast clouds
80,Pangnirtung,CA,66.1451,-65.7125,-2.2,78,100,5.75,light snow
81,Lagoa,PT,39.05,-27.9833,60.17,88,100,22.66,overcast clouds
82,Smithers,CA,54.7804,-127.1743,28.72,74,75,6.91,broken clouds
83,Bluff,NZ,-46.6,168.3333,50.81,68,100,13.96,overcast clouds
84,Solnechnyy,RU,50.7214,136.6319,10.09,93,100,7.14,light snow
85,Klaksvik,FO,62.2266,-6.589,40.12,88,100,9.86,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,81.5,68,100,9.35,overcast clouds
87,Thompson,CA,55.7435,-97.8558,-3.33,77,26,8.16,scattered clouds
88,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,12.66,clear sky
89,Caborca,MX,30.5838,-111.101,76.71,13,0,13.15,clear sky
90,Bonthe,SL,7.5264,-12.505,79.95,76,12,11.07,few clouds
91,Kumluca,TR,36.3703,30.2869,51.67,75,23,2.84,few clouds
92,Trat,TH,12.5,102.5,82.98,93,69,1.81,broken clouds
93,Rawson,AR,-43.3002,-65.1023,80.26,25,100,7.07,overcast clouds
94,Tsivilsk,RU,55.8611,47.4664,27.61,97,91,7.14,overcast clouds
95,Imbituba,BR,-28.24,-48.6703,83.82,63,0,14.88,clear sky
96,Atuona,PF,-9.8,-139.0333,77.67,77,6,13.58,light rain
97,Avera,US,33.194,-82.5271,69.71,35,100,5.37,overcast clouds
98,Nicolas Bravo,MX,18.45,-88.9167,79.68,84,36,4.47,scattered clouds
99,Broome,US,42.2506,-75.833,43.21,61,75,14.97,broken clouds
100,Mackenzie,CA,55.2999,-123.1698,34.02,51,20,10.36,few clouds
101,Chokurdakh,RU,70.6333,147.9167,-2.45,95,100,13.69,overcast clouds
102,Shasta Lake,US,40.6804,-122.3708,72.81,28,0,3.09,clear sky
103,Padang,ID,-0.9492,100.3543,76.86,82,96,3.67,overcast clouds
104,Ayan,RU,56.45,138.1667,-5.73,80,69,6.73,broken clouds
105,Sistranda,NO,63.7256,8.834,35.91,74,100,15.66,overcast clouds
106,Te Anau,NZ,-45.4167,167.7167,46.09,88,89,4.16,overcast clouds
107,Slobidka,UA,47.8869,29.3461,33.53,72,87,5.37,overcast clouds
108,Georgetown,MY,5.4112,100.3354,82.33,72,20,3.44,few clouds
109,Luncavita,RO,45.2833,28.2667,32.31,58,15,6.96,few clouds
110,Avarua,CK,-21.2078,-159.775,80.65,78,100,3.44,overcast clouds
111,Kruisfontein,ZA,-34.0033,24.7314,71.38,94,87,5.17,overcast clouds
112,Sahy,SK,48.0741,18.9495,37.9,71,4,4.83,clear sky
113,Hokitika,NZ,-42.7167,170.9667,50.36,86,100,9.89,overcast clouds
114,Catumbela,AO,-12.4314,13.5472,77.11,73,90,2.91,overcast clouds
115,Ketchikan,US,55.3422,-131.6461,40.98,87,100,8.05,overcast clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,9.22,few clouds
117,Xinzhi,CN,36.4989,111.7047,35.98,64,29,4.99,scattered clouds
118,Lata,PT,40.1629,-8.3327,55.72,92,93,3.04,overcast clouds
119,Rikitea,PF,-23.1203,-134.9692,79.02,70,3,17.0,light rain
120,Buraydah,SA,26.326,43.975,50.45,35,0,9.95,clear sky
121,Asyut,EG,27.181,31.1837,60.08,30,0,6.33,clear sky
122,Aykhal,RU,66.0,111.5,-7.22,100,100,3.96,overcast clouds
123,Bengkulu,ID,-3.8004,102.2655,75.92,84,79,4.29,broken clouds
124,La Paz,BO,-16.5,-68.15,53.58,76,75,9.22,broken clouds
125,Ribeira Grande,PT,38.5167,-28.7,63.0,77,40,20.71,scattered clouds
126,Port Alfred,ZA,-33.5906,26.891,75.87,91,1,13.15,clear sky
127,Kargat,RU,55.1956,80.2811,-3.82,96,9,8.46,clear sky
128,Ilulissat,GL,69.2167,-51.1,24.82,86,75,23.02,light shower snow
129,Willmar,US,45.1219,-95.0433,2.88,65,100,3.44,overcast clouds
130,Malakal,SS,9.5334,31.6605,80.35,26,13,4.52,few clouds
131,Fairbanks,US,64.8378,-147.7164,-3.77,74,40,3.44,scattered clouds
132,Ouadda,CF,8.0777,22.4007,76.06,23,22,6.42,few clouds
133,Egvekinot,RU,66.3167,-179.1667,-20.52,88,20,8.21,few clouds
134,Derzhavinsk,KZ,51.1,66.3167,23.86,95,100,15.28,light snow
135,Olafsvik,IS,64.8945,-23.7142,26.69,71,41,19.6,scattered clouds
136,Gusinoye Ozero,RU,51.1144,106.2614,-18.78,99,86,2.17,overcast clouds
137,Bredasdorp,ZA,-34.5322,20.0403,68.29,76,100,5.37,overcast clouds
138,Sorong,ID,-0.8833,131.25,79.77,81,100,7.27,overcast clouds
139,Moose Factory,CA,51.2585,-80.6094,-5.8,54,0,11.5,clear sky
140,Aklavik,CA,68.2191,-135.0107,-17.57,68,75,3.44,broken clouds
141,Maridi,SS,4.9158,29.4742,79.57,25,0,5.77,clear sky
142,Zhigansk,RU,66.7697,123.3711,-33.65,100,83,3.96,broken clouds
143,Port Lincoln,AU,-34.7333,135.8667,68.95,58,99,8.08,overcast clouds
144,San Felipe,VE,10.3399,-68.7425,82.27,61,89,9.73,overcast clouds
145,Flinders,AU,-34.5833,150.8552,64.2,93,85,4.0,overcast clouds
146,Tiznit,MA,29.5833,-9.5,58.82,53,0,2.82,clear sky
147,Tiksi,RU,71.6872,128.8694,-8.57,90,88,16.67,overcast clouds
148,Nsoko,SZ,-27.0333,31.95,70.66,82,0,2.73,clear sky
149,Broken Hill,AU,-31.95,141.4333,73.9,27,0,6.62,clear sky
150,Ostrovnoy,RU,68.0531,39.5131,11.75,94,60,8.52,broken clouds
151,East London,ZA,-33.0153,27.9116,77.43,86,0,12.86,clear sky
152,Thinadhoo,MV,0.5333,72.9333,81.48,70,100,6.73,overcast clouds
153,Savannah Bight,HN,16.45,-85.85,84.25,76,0,16.62,clear sky
154,Caravelas,BR,-17.7125,-39.2481,82.81,68,99,7.54,overcast clouds
155,Coos Bay,US,43.3665,-124.2179,63.14,72,0,4.61,clear sky
156,Barrow,US,71.2906,-156.7887,-32.78,100,100,6.91,overcast clouds
157,Coihaique,CL,-45.5752,-72.0662,84.81,36,0,4.61,clear sky
158,Husavik,IS,66.0449,-17.3389,24.71,87,92,7.31,overcast clouds
