City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Puerto Penasco,MX,82.38,clear sky,31.3167,-113.5333,Playa Bonita Resort
216,Copacabana,CO,86.34,scattered clouds,6.3463,-75.5089,Hospedaje Brazil
222,Namibe,AO,76.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
225,Gamba,GA,78.62,overcast clouds,-2.65,10.0,
226,Tanah Merah,MY,75.02,overcast clouds,5.8,102.15,Humaira Hotel
227,San Isidro,PE,76.59,clear sky,-12.1167,-77.05,Soul Mate-Inn
241,Natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
245,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
248,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
256,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
264,Zabid,YE,76.48,scattered clouds,14.1951,43.3152,مغرب التريبه
265,Port Shepstone,ZA,76.55,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
266,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
275,Alta Floresta,BR,80.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
277,Upata,VE,82.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
282,Ahuimanu,US,77.45,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
